,Unnamed: 0,Donor,lineage,# postB Cells in Cluster,# preB Cells in Cluster,postB fold enrichment norm,hypergeom p,Fisher p,Fisher -log10p,-log10p,# postA Cells in Cluster,# preA Cells in Cluster,Comparison,postA fold enrichment norm
89,89,5,16,62.0,2.0,5.692583120204604,0.0030738124144989,0.0116679733619093,1.93300461769104,2.51232263970998,7.0,8.0,B_,
90,90,5,17,59.0,1.0,10.834271099744246,0.0098976076542206,0.0387155525386333,1.4121145009994507,2.004469765819282,15.0,2.0,B_,
91,91,5,18,64.0,1.0,11.75242966751918,4.942488977266457e-05,0.000226376709179,3.6451683044433594,4.306054290576292,6.0,5.0,B_,
92,92,5,19,60.0,1.0,11.017902813299234,0.0014274247477653,0.0065453620627522,2.1840662956237793,2.845446777997497,10.0,4.0,B_,
93,93,5,20,55.0,1.0,10.099744245524295,0.0329550731610301,0.1080764085054397,0.966269075870514,1.4820777198788704,13.0,5.0,B_,
94,94,5,21,57.0,1.0,10.46700767263427,0.0052180331181233,0.0181111842393875,1.7420531511306763,2.282493168820973,11.0,4.0,B_,
95,95,5,22,53.0,1.0,9.732480818414322,0.0071166738416935,0.0280315391719341,1.552353024482727,2.1477229375029263,10.0,4.0,B_,
96,96,5,23,1.0,62.0,0.002961801831532,1.0,6.33455270781286e-29,28.19828414916992,-0.0,1.0,1.0,B_,
97,97,5,24,48.0,1.0,8.814322250639387,0.0202989295243616,0.0814250260591506,1.0892421007156372,1.6925268642503817,11.0,3.0,B_,
98,98,5,25,41.0,1.0,7.5289002557544755,0.1494677560924038,0.4065160751342773,0.3909222781658172,0.8254524853427003,10.0,6.0,B_,
99,99,5,26,46.0,1.0,8.447058823529412,0.0058136926837374,0.0252191890031099,1.5982688665390015,2.235547929098876,9.0,2.0,B_,
100,100,5,27,4.0,50.0,0.0146905370843989,1.0,5.155296538985908e-20,19.28774642944336,-0.0,1.0,1.0,B_,
101,101,5,28,31.0,1.0,5.692583120204604,0.5550610997790573,0.7647461295127868,0.1164827197790145,0.2556592081631509,15.0,2.0,B_,
102,102,5,29,32.0,1.0,5.87621483375959,0.2833735048567147,0.758626878261566,0.1199717745184898,0.5476407582961856,13.0,1.0,B_,
103,103,5,30,26.0,1.0,4.774424552429668,0.7562273631207139,0.4268158674240112,0.3697594404220581,0.1213476122983526,16.0,1.0,B_,
104,104,5,31,33.0,1.0,6.059846547314578,0.057916873529612,0.2026417404413223,0.6932711005210876,1.23719489027578,4.0,6.0,B_,
105,105,5,32,1.0,37.0,0.0049630192852699,1.0,2.4121114403277093e-17,16.617603302001953,-0.0,1.0,1.0,B_,
106,106,5,33,1.0,37.0,0.0049630192852699,1.0,2.4121114403277093e-17,16.617603302001953,-0.0,1.0,1.0,B_,
107,107,5,34,27.0,1.0,4.958056265984655,0.3188531805471697,0.8678169250488281,0.0615718886256217,0.4964092465857866,11.0,1.0,B_,
108,108,5,35,28.0,1.0,5.141687979539642,0.1465574740102794,0.4989481568336486,0.3019445836544036,0.8339920288894537,8.0,2.0,B_,
109,109,5,36,30.0,1.0,5.508951406649617,0.0100154891305248,0.0544872805476188,1.2637048959732056,1.999327836035846,4.0,2.0,B_,
110,110,5,37,28.0,1.0,5.141687979539642,0.007704703237827,0.044698417186737,1.3497078418731687,2.113244084350651,3.0,2.0,B_,
111,111,5,38,1.0,30.0,0.0061210571184995,0.9999999999999628,3.7068770633325726e-14,13.430992126464844,1.6104268691440194e-14,1.0,1.0,B_,
112,112,5,39,22.0,1.0,4.039897698209719,0.0747133522274668,0.2469632476568222,0.6073676943778991,1.126601777294112,5.0,1.0,B_,
113,113,5,40,19.0,1.0,3.489002557544757,0.3128443667109868,0.8441575765609741,0.0735764801502227,0.5046716608186639,7.0,1.0,B_,
114,114,5,41,18.0,1.0,3.305370843989769,0.1756290748241791,0.533744990825653,0.2726662158966064,0.7554035864341122,3.0,3.0,B_,
115,115,5,42,2.0,11.0,0.0333875842827249,0.9999478972057322,5.2102794143138447e-05,4.283139228820801,2.262854555259912e-05,1.0,1.0,B_,
116,116,5,43,8.0,1.0,1.4690537084398976,0.7585745115735477,0.4160093963146209,0.3808968663215637,0.1200017538675127,2.0,4.0,B_,
117,117,5,44,1.0,9.0,0.0204035237283319,0.9999725040185368,2.7495982067193836e-05,4.5607309341430655,1.1941517196664292e-05,2.0,1.0,B_,
118,118,5,45,7.0,1.0,1.2854219948849106,0.7195123249527393,0.3949116468429565,0.4035000801086425,0.1429617623762714,4.0,1.0,B_,
119,119,5,46,7.0,1.0,1.2854219948849106,0.5870136359906586,0.7626011967658995,0.1177025139331817,0.2313518102230584,3.0,1.0,B_,
0,0,1,0,,,,0.1155744890114254,0.7091938853263854,0.1492350250482559,0.9371380180283954,51.0,1.0,A_,2.048192771084337
1,1,1,1,,,,0.2302124192694479,1.0,-0.0,0.6378712511897063,35.0,1.0,A_,1.4056224899598393
2,2,1,2,,,,0.2401568002310099,1.0,-0.0,0.6195051114568727,34.0,1.0,A_,1.365461847389558
3,3,1,3,,,,0.2401568002310099,1.0,-0.0,0.6195051114568727,34.0,1.0,A_,1.365461847389558
4,4,1,4,,,,0.2724968008202988,1.0,-0.0,0.564638592081822,31.0,1.0,A_,1.2449799196787148
5,5,1,5,,,,0.2841668993564148,1.0,-0.0,0.5464265114334301,30.0,1.0,A_,1.2048192771084336
6,6,1,6,,,,0.2963107839442863,1.0,-0.0,0.5282525425048573,29.0,1.0,A_,1.1646586345381529
7,7,1,7,,,,0.2963107839442863,1.0,-0.0,0.5282525425048573,29.0,1.0,A_,1.1646586345381529
8,8,1,8,,,,0.7050492487138509,0.2949507534503936,0.5302504897117614,0.1517805458488255,26.0,2.0,A_,0.5220883534136546
9,9,1,9,,,,0.3499978569234412,1.0,-0.0,0.4559346148759336,25.0,1.0,A_,1.004016064257028
10,10,1,10,,,,0.3499978569234412,1.0,-0.0,0.4559346148759336,25.0,1.0,A_,1.004016064257028
11,11,1,11,,,,0.3499978569234412,1.0,-0.0,0.4559346148759336,25.0,1.0,A_,1.004016064257028
12,12,1,12,,,,0.3499978569234412,1.0,-0.0,0.4559346148759336,25.0,1.0,A_,1.004016064257028
13,13,1,13,,,,0.364796920641123,1.0,-0.0,0.4379488363365286,24.0,1.0,A_,0.963855421686747
14,14,1,14,,,,0.4301541267070942,0.5698458552360534,0.2442426085472106,0.3663759063154669,20.0,1.0,A_,0.8032128514056225
15,15,1,15,,,,0.5065379500997128,0.4934620559215545,0.3067462444305419,0.2953880115051315,16.0,1.0,A_,0.6425702811244979
16,16,1,16,,,,0.5065379500997128,0.4934620559215545,0.3067462444305419,0.2953880115051315,16.0,1.0,A_,0.6425702811244979
17,17,1,17,,,,0.5494010963114604,0.4505988955497741,0.3462098836898803,0.2601104782945201,14.0,1.0,A_,0.5622489959839357
18,18,1,18,,,,0.6721426780024318,0.3278573155403137,0.4843150973320007,0.1725385279997505,9.0,1.0,A_,0.36144578313253
19,19,3,0,,,,0.5487150329609656,0.8368796706199645,0.0773369818925857,0.2606531414212699,49.0,8.0,A_,0.9009784075573548
20,20,3,1,,,,0.9997286953283134,0.0002713046851567,3.566542625427246,0.0001178421081081,39.0,17.0,A_,0.3374613003095975
21,21,3,2,,,,0.9995478256569996,0.0004521743394434,3.344694137573242,0.0001964212336919,37.0,16.0,A_,0.3401653171390013
22,22,3,3,,,,0.3030392143352994,1.0,-0.0,0.5185011686347349,47.0,6.0,A_,1.1522717049032838
23,23,3,4,,,,0.007448564266582,0.0512869693338871,1.2899929285049438,2.127927430767252,48.0,2.0,A_,3.530364372469636
